Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1977,-.16,.11,.26,.25,.23,.22,.08,.02,.13,-.02,.27,.02,.12,.10,-.10,.25,.11,.13
1978,.16,.04,.21,.07,-.06,-.14,-.07,-.14,-.01,.00,.16,.02,.02,.02,.07,.07,-.12,.05
1979,-.05,-.35,.18,-.17,.01,.08,.05,.04,.19,.23,.24,.54,.08,.04,-.13,.01,.06,.22
1980,.21,.40,.07,.15,.26,.18,.13,.09,.10,.12,.21,.09,.17,.21,.38,.16,.14,.14
1981,.80,.62,.68,.39,.18,.27,.09,.16,.13,.23,.35,.54,.37,.33,.50,.41,.17,.24
1982,-.14,.16,.06,.17,.09,.01,.04,-.07,.06,.00,-.11,.38,.05,.07,.19,.10,-.01,-.02
1983,.55,.35,.42,.06,.05,.10,.20,.25,.26,.12,.49,.11,.25,.27,.42,.18,.19,.29
1984,.33,.02,.18,-.07,.23,.09,.08,.05,-.04,.08,-.10,-.42,.04,.08,.15,.11,.08,-.02
1985,.07,-.30,.00,-.04,.08,.00,-.08,-.02,.02,.02,.02,.16,.00,-.05,-.21,.02,-.03,.02
1986,.36,.31,.26,.14,.19,.14,-.02,.04,-.02,.09,.03,.06,.13,.14,.28,.20,.05,.03
1987,.25,.50,.00,.07,.23,.16,.25,.27,.39,.22,.10,.50,.25,.21,.27,.10,.23,.24
1988,.59,.46,.47,.44,.43,.40,.42,.26,.26,.23,.06,.42,.37,.38,.52,.45,.36,.18
1989,.08,.39,.45,.32,.22,.24,.31,.25,.23,.25,.11,.33,.27,.27,.30,.33,.27,.19
1990,.47,.54,1.16,.71,.50,.47,.33,.41,.42,.48,.46,.38,.53,.52,.45,.79,.40,.45
1991,.59,.57,.46,.56,.33,.47,.43,.35,.35,.29,.32,.20,.41,.43,.51,.45,.42,.32
1992,.60,.49,.54,.16,.19,.04,-.10,-.07,-.18,-.17,-.09,.21,.14,.13,.43,.29,-.04,-.15
1993,.38,.52,.38,.23,.32,.22,.12,.02,-.07,.12,-.21,.22,.19,.19,.37,.31,.12,-.05
1994,.33,-.05,.49,.48,.39,.41,.33,.32,.32,.54,.50,.36,.37,.36,.17,.45,.36,.46
1995,.75,1.19,.59,.71,.41,.50,.37,.53,.43,.60,.57,.26,.58,.58,.76,.57,.47,.53
1996,.26,.54,.32,.17,.35,.25,.29,.18,.03,.04,.35,.35,.26,.25,.36,.28,.24,.14
1997,.34,.60,.74,.49,.42,.49,.41,.48,.51,.63,.59,.51,.52,.50,.43,.55,.46,.58
1998,.62,1.03,.72,.87,.66,.72,.74,.72,.61,.53,.48,.73,.70,.69,.72,.75,.73,.54
1999,.59,1.00,.29,.54,.36,.34,.35,.30,.40,.39,.53,.66,.48,.49,.77,.39,.33,.44
2000,.38,.89,.83,.88,.54,.44,.41,.47,.36,.29,.19,.27,.50,.53,.64,.75,.44,.28
2001,.56,.46,.76,.60,.69,.51,.63,.68,.56,.60,.97,.65,.64,.61,.43,.68,.61,.71
2002,1.02,1.14,1.11,.51,.52,.68,.66,.55,.62,.54,.78,.42,.71,.73,.94,.71,.63,.65
2003,.92,.56,.66,.61,.71,.54,.68,.86,.78,.99,.66,.98,.75,.70,.64,.66,.69,.81
2004,.66,.91,.86,.70,.52,.47,.49,.55,.59,.70,.98,.44,.66,.70,.85,.69,.50,.76
2005,.94,.71,.94,.93,.77,.78,.74,.69,.89,.94,1.05,.83,.85,.82,.70,.88,.74,.96
2006,.64,.95,.78,.59,.76,.80,.69,.68,.82,.95,.94,1.15,.81,.79,.81,.71,.73,.90
2007,1.45,.89,.93,1.06,.71,.65,.64,.72,.67,.83,.81,.77,.84,.88,1.16,.90,.67,.77
2008,.33,.59,1.13,.65,.60,.61,.60,.58,.57,.85,.96,.65,.68,.69,.56,.79,.60,.79
2009,.82,.70,.58,.70,.65,.66,.68,.72,.84,.79,.84,.67,.72,.72,.72,.64,.69,.82
2010,.80,.95,1.10,1.14,.93,.83,.88,.85,.70,.89,1.20,.51,.90,.91,.80,1.06,.86,.93
2011,.62,.54,.89,.82,.65,.76,.71,.70,.73,.90,.65,.87,.74,.71,.56,.79,.72,.76
2012,.64,.57,.69,1.05,.96,.93,.85,.76,.86,.90,.97,.44,.80,.84,.69,.90,.85,.91
2013,.85,.78,.81,.67,.77,.77,.69,.73,.70,.83,1.12,.84,.80,.76,.69,.75,.73,.88
2014,.98,.71,1.19,1.09,.89,.81,.76,.91,.83,.93,.81,1.10,.92,.90,.84,1.06,.83,.86
2015,1.19,1.20,1.32,1.01,1.04,1.06,.92,1.01,1.17,1.28,1.37,1.54,1.18,1.14,1.16,1.12,1.00,1.28
2016,1.55,1.93,1.88,1.47,1.11,1.13,1.04,1.12,1.22,1.03,1.11,1.04,1.30,1.34,1.67,1.49,1.10,1.12
2017,1.38,1.50,1.51,1.19,.92,.93,.98,1.02,.99,1.04,1.22,1.37,1.17,1.14,1.31,1.20,.98,1.08
2018,1.13,1.23,1.17,.97,1.00,.86,.93,.90,.98,1.23,.97,1.09,1.04,1.06,1.24,1.05,.89,1.06
2019,1.19,1.13,1.55,1.24,1.01,1.20,1.03,1.11,1.22,1.28,1.18,1.40,1.21,1.19,1.14,1.27,1.11,1.23
2020,1.59,1.69,1.66,1.39,1.26,1.14,1.10,1.12,1.19,1.21,1.58,1.18,1.34,1.36,1.56,1.44,1.12,1.33
2021,1.25,.94,1.20,1.13,1.05,1.21,1.07,1.02,1.04,1.30,1.29,1.16,1.14,1.14,1.13,1.13,1.10,1.21
2022,1.24,1.16,1.41,1.09,1.02,1.13,1.07,1.17,1.15,1.31,1.09,1.06,1.16,1.17,1.19,1.17,1.12,1.18
2023,1.29,1.28,1.64,1.02,1.13,1.19,1.45,1.57,1.67,1.87,1.97,1.85,1.49,1.43,1.21,1.26,1.40,1.84
2024,1.67,1.92,1.77,1.79,1.44,1.54,1.41,1.43,1.58,1.73,1.89,1.70,1.65,1.67,1.81,1.67,1.46,1.73
2025,1.83,1.63,1.83,1.58,1.20,1.18,1.20,1.26,***,***,***,***,***,***,1.72,1.54,1.21,***
